"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type","bike_type"
306773863,8,"2019-01-01 00:19:00","2019-01-01 00:27:00",3049,39.945091,-75.142502,3007,39.945171,-75.159927,14495,30,"One Way","Indego30","standard"
306773862,7,"2019-01-01 00:30:00","2019-01-01 00:37:00",3005,39.947330,-75.144028,3007,39.945171,-75.159927,"05332",1,"One Way","Day Pass","standard"
306773861,13,"2019-01-01 00:52:00","2019-01-01 01:05:00",3166,39.972351,-75.134453,3169,39.953819,-75.142632,14623,30,"One Way","Indego30","standard"
306773860,9,"2019-01-01 00:55:00","2019-01-01 01:04:00",3058,39.967159,-75.170013,3103,39.977139,-75.179398,11706,30,"One Way","Indego30","standard"
306773859,12,"2019-01-01 01:05:00","2019-01-01 01:17:00",3182,39.950809,-75.169533,3028,39.940609,-75.149582,11039,30,"One Way","Indego30","standard"
306773858,13,"2019-01-01 01:07:00","2019-01-01 01:20:00",3046,39.950119,-75.144722,3075,39.967178,-75.161247,"03628",30,"One Way","Indego30","standard"
306773857,10,"2019-01-01 01:13:00","2019-01-01 01:23:00",3045,39.947922,-75.162369,3155,39.940182,-75.154419,"02474",30,"One Way","Indego30","standard"
306773855,5,"2019-01-01 01:14:00","2019-01-01 01:19:00",3115,39.972630,-75.167572,3123,39.980042,-75.170883,11913,30,"One Way","Indego30","standard"
306773856,18,"2019-01-01 01:14:00","2019-01-01 01:32:00",3068,39.935490,-75.167107,3007,39.945171,-75.159927,"05224",30,"One Way","Indego30","standard"
306773854,6,"2019-01-01 01:26:00","2019-01-01 01:32:00",3022,39.954720,-75.183228,3165,39.958191,-75.178200,"02498",30,"One Way","Indego30","standard"
306774569,38,"2019-01-01 01:33:00","2019-01-01 02:11:00",3016,39.968922,-75.154701,3154,39.959240,-75.158211,"05277",30,"One Way","Indego30","standard"
306773853,14,"2019-01-01 01:36:00","2019-01-01 01:50:00",3026,39.941380,-75.145638,3157,39.925449,-75.159538,14689,30,"One Way","Indego30","standard"
306774808,43,"2019-01-01 01:37:00","2019-01-01 02:20:00",3192,39.962070,-75.141113,3114,39.937752,-75.180122,11012,365,"One Way","Indego365","standard"
306775046,40,"2019-01-01 01:40:00","2019-01-01 02:20:00",3073,39.961430,-75.152420,3028,39.940609,-75.149582,"05372",1,"One Way","Day Pass","standard"
306774566,27,"2019-01-01 01:46:00","2019-01-01 02:13:00",3056,39.976688,-75.158127,3104,39.966640,-75.192093,15072,30,"One Way","Indego30","electric"
306774090,9,"2019-01-01 01:51:00","2019-01-01 02:00:00",3154,39.959240,-75.158211,3007,39.945171,-75.159927,"05392",30,"One Way","Indego30","standard"
306774804,11,"2019-01-01 02:07:00","2019-01-01 02:18:00",3066,39.945610,-75.173477,3026,39.941380,-75.145638,"05405",30,"One Way","Indego30","standard"
306788222,1,"2019-01-01 02:07:00","2019-01-01 02:08:00",3026,39.941380,-75.145638,3000,"","","02600",1,"One Way","Day Pass","standard"
306776003,25,"2019-01-01 02:16:00","2019-01-01 02:41:00",3153,39.972160,-75.129936,3058,39.967159,-75.170013,14685,365,"One Way","Indego365","standard"
306776002,23,"2019-01-01 02:17:00","2019-01-01 02:40:00",3153,39.972160,-75.129936,3058,39.967159,-75.170013,"05352",365,"One Way","Indego365","standard"
306775283,5,"2019-01-01 02:22:00","2019-01-01 02:27:00",3028,39.940609,-75.149582,3033,39.950050,-75.156723,"05372",30,"One Way","Indego30","standard"
306775282,4,"2019-01-01 02:23:00","2019-01-01 02:27:00",3059,39.962650,-75.161743,3154,39.959240,-75.158211,"03649",30,"One Way","Indego30","standard"
306775998,12,"2019-01-01 02:29:00","2019-01-01 02:41:00",3037,39.954239,-75.161377,3032,39.945271,-75.179710,"05184",365,"One Way","Indego365","standard"
306795605,408,"2019-01-01 02:41:00","2019-01-01 09:29:00",3070,39.960621,-75.139832,3040,39.962891,-75.166061,11868,1,"One Way","Day Pass","standard"
306776237,4,"2019-01-01 02:43:00","2019-01-01 02:47:00",3155,39.940182,-75.154419,3099,39.934010,-75.150940,14578,1,"One Way","Day Pass","standard"
306776716,13,"2019-01-01 02:43:00","2019-01-01 02:56:00",3017,39.980030,-75.143707,3031,39.980049,-75.155220,"02723",30,"One Way","Indego30","standard"
306777433,22,"2019-01-01 02:51:00","2019-01-01 03:13:00",3006,39.952202,-75.203110,3063,39.946331,-75.169800,"05329",1,"One Way","Day Pass","standard"
306776953,8,"2019-01-01 02:53:00","2019-01-01 03:01:00",3047,39.950710,-75.149208,3028,39.940609,-75.149582,15071,30,"One Way","Indego30","electric"
306776952,8,"2019-01-01 02:55:00","2019-01-01 03:03:00",3021,39.953899,-75.169022,3009,39.955761,-75.189819,"03453",30,"One Way","Indego30","standard"
306777430,14,"2019-01-01 02:56:00","2019-01-01 03:10:00",3028,39.940609,-75.149582,3078,39.953548,-75.171921,"05185",30,"One Way","Indego30","standard"
306777911,6,"2019-01-01 03:16:00","2019-01-01 03:22:00",3160,39.956619,-75.198624,3118,39.958660,-75.213226,"03495",30,"One Way","Indego30","standard"
306780065,41,"2019-01-01 03:26:00","2019-01-01 04:07:00",3024,39.948219,-75.209084,3153,39.972160,-75.129936,14487,365,"One Way","Indego365","standard"
306778868,12,"2019-01-01 03:32:00","2019-01-01 03:44:00",3053,39.932308,-75.181541,3168,39.951340,-75.173943,14476,30,"One Way","Indego30","standard"
306779586,26,"2019-01-01 03:32:00","2019-01-01 03:58:00",3166,39.972351,-75.134453,3166,39.972351,-75.134453,"02508",1,"Round Trip","Day Pass","standard"
306779345,6,"2019-01-01 03:45:00","2019-01-01 03:51:00",3007,39.945171,-75.159927,3025,39.937241,-75.161201,"05224",30,"One Way","Indego30","standard"
306780302,12,"2019-01-01 03:58:00","2019-01-01 04:10:00",3125,39.943909,-75.167351,3099,39.934010,-75.150940,"05411",30,"One Way","Indego30","standard"
306782709,14,"2019-01-01 04:48:00","2019-01-01 05:02:00",3078,39.953548,-75.171921,3013,39.963169,-75.147919,"02698",30,"One Way","Indego30","standard"
306974084,1440,"2019-01-01 05:00:00","2019-01-03 21:27:00",3018,39.952728,-75.159790,3000,"","",11774,1,"One Way","Day Pass","standard"
306783428,2,"2019-01-01 05:13:00","2019-01-01 05:15:00",3185,39.951691,-75.158882,3055,39.951118,-75.154572,11947,30,"One Way","Indego30","standard"
306783427,4,"2019-01-01 05:14:00","2019-01-01 05:18:00",3064,39.938400,-75.173271,3043,39.930820,-75.174744,14661,30,"One Way","Indego30","standard"
306784143,5,"2019-01-01 05:25:00","2019-01-01 05:30:00",3170,39.944260,-75.181343,3020,39.949219,-75.190361,14482,365,"One Way","Indego365","standard"
306784860,11,"2019-01-01 05:38:00","2019-01-01 05:49:00",3026,39.941380,-75.145638,3190,39.948921,-75.169907,"05405",30,"One Way","Indego30","standard"
306785098,2,"2019-01-01 05:48:00","2019-01-01 05:50:00",3050,39.953388,-75.154259,3033,39.950050,-75.156723,11963,30,"One Way","Indego30","standard"
306785816,19,"2019-01-01 05:48:00","2019-01-01 06:07:00",3053,39.932308,-75.181541,3037,39.954239,-75.161377,11751,30,"One Way","Indego30","standard"
306786293,10,"2019-01-01 06:09:00","2019-01-01 06:19:00",3164,39.928139,-75.165154,3052,39.947319,-75.156952,"03534",30,"One Way","Indego30","standard"
306793182,135,"2019-01-01 06:27:00","2019-01-01 08:42:00",3052,39.947319,-75.156952,3018,39.952728,-75.159790,14700,1,"One Way","Day Pass","standard"
306793181,134,"2019-01-01 06:28:00","2019-01-01 08:42:00",3052,39.947319,-75.156952,3018,39.952728,-75.159790,11712,1,"One Way","Day Pass","standard"
306793892,148,"2019-01-01 06:29:00","2019-01-01 08:57:00",3052,39.947319,-75.156952,3037,39.954239,-75.161377,11850,1,"One Way","Day Pass","standard"
306793180,132,"2019-01-01 06:30:00","2019-01-01 08:42:00",3052,39.947319,-75.156952,3018,39.952728,-75.159790,"03432",1,"One Way","Day Pass","standard"
306787480,11,"2019-01-01 06:33:00","2019-01-01 06:44:00",3073,39.961430,-75.152420,3057,39.964439,-75.179947,"05257",30,"One Way","Indego30","standard"
306787716,8,"2019-01-01 06:40:00","2019-01-01 06:48:00",3170,39.944260,-75.181343,3020,39.949219,-75.190361,11884,365,"One Way","Indego365","standard"
306787954,1,"2019-01-01 06:52:00","2019-01-01 06:53:00",3104,39.966640,-75.192093,3104,39.966640,-75.192093,11752,30,"Round Trip","Indego30","standard"
306788661,13,"2019-01-01 06:53:00","2019-01-01 07:06:00",3104,39.966640,-75.192093,3163,39.949741,-75.180969,11752,30,"One Way","Indego30","standard"
